"Estacion" "Codigo" "Termino" "Longitud" "Latitud" "Altitud" "XUTM" "YUTM" "Huso" "Fecha_Instalacion" "Fecha_Baja"
"1" "Villena" "A01" "Villena" "005304000W" "384035000N" 519 684017 4283000 30 "1999-11-10T00:00:00" "2000-03-20T00:00:00"
"2" "Camp de Mirra" "A02" "Campo de Mirra/Camp de Mirra, el" "004622000W" "384045000N" 589 693720 4283550 30 "1999-11-10T00:00:00" NA
"3" "Vila Joiosa" "A03" "Villajoyosa/Vila Joiosa, la" "001522000W" "383140000N" 73 739183 4267960 30 "1999-11-11T00:00:00" NA
"4" "Ondara" "A04" "Ondara" "000023000E" "384906000N" 38 761033 4300940 31 "1999-11-11T00:00:00" NA
"5" "Dénia Gata" "A05" "Dénia" "000457000E" "384733000N" 86 767731 4298290 31 "1999-11-16T00:00:00" NA
"6" "Pinoso" "A06" "Pinós, el/Pinoso" "010338000W" "382538000N" 629 669278 4255020 30 "1999-11-15T00:00:00" NA
"7" "Novelda" "A07" "Novelda" "004453000W" "382237000N" 244 696702 4250060 30 "1999-11-16T00:00:00" "2006-10-21T00:00:00"
"8" "Monforte del Cid" "A08" "Monforte del Cid" "004349000W" "382356000N" 259 698193 4252510 30 "1999-11-16T00:00:00" NA
"9" "Crevillente" "A09" "Crevillent" "004659000W" "381426000N" 73 694006 4234860 30 "1999-11-22T00:00:00" NA
"10" "Almoradí" "A10" "Almoradí" "004628000W" "380153000N" 58 695318 4211640 30 "1999-11-23T00:00:00" NA
"11" "Elx EEA" "A101" "Elche/Elx" "004145813W" "381453518N" 62 701609 4235864 30 "1999-03-11T00:00:00" NA
"12" "Callosa d'en Sarrià" "A102" "Callosa d'En Sarrià" "000616196W" "383900896N" 165 751980 4281944 30 "2010-02-11T00:00:00" NA
"13" "Callosa d'en Sarrià (malla)" "A1020" "Callosa d'En Sarrià" "000616648W" "383859934N" 170 751970 4281914 30 "2010-03-04T00:00:00" NA
"14" "Orihuela la Murada" "A11" "Orihuela" "005716000W" "381054000N" 99 679135 4227960 30 "1999-11-23T00:00:00" "2014-03-18T00:00:00"
"15" "Pilar de la Horadada" "A12" "Pilar de la Horadada" "004845000W" "375206000N" 54 692408 4193490 30 "1999-11-24T00:00:00" NA
"16" "Catral" "A13" "Catral" "004820000W" "380911000N" 6 692275 4225080 30 "1999-11-24T00:00:00" NA
"17" "Orihuela" "A14" "Orihuela" "005007000W" "380557000N" 13 689801 4219040 30 "1999-11-30T00:00:00" "2000-02-06T00:00:00"
"18" "Altea" "A15" "Altea" "000446000W" "383612000N" 75 754320 4276840 30 "1999-11-30T00:00:00" NA
"19" "Castalla" "A16" "Castalla" "004023000W" "383616000N" 708 702608 4275460 30 "1999-12-01T00:00:00" "2012-09-24T00:00:00"
"20" "Agost" "A17" "Agost" "003840000W" "382535000N" 345 705598 4255780 30 "1999-12-15T00:00:00" "2002-07-27T00:00:00"
"21" "Planes" "A18" "Planes" "002110000W" "384705000N" 439 729927 4296220 30 "1999-12-16T00:00:00" NA
"22" "Villena" "A19" "Villena" "005231000W" "383543000N" 488 685028 4274030 30 "2001-03-20T00:00:00" NA
"23" "Agost" "A20" "Agost" "003859000W" "382517000N" 281 705166 4255200 30 "2002-12-03T00:00:00" NA
"24" "Orihuela - La Murada" "A21" "Orihuela" "005730993W" "381051955N" 98 678796 4227878 30 "2015-04-09T00:00:00" NA
"25" "Tarazona" "AB01" "Tarazona de la Mancha" "015512000W" "391520000N" 722 593160 4345720 30 "1999-10-13T00:00:00" NA
"26" "Juanaco" "AB02" "Villarrobledo" "023925000W" "391558000N" 705 529582 4346370 30 "1999-10-13T00:00:00" NA
"27" "Almansa" "AB03" "Almansa" "010627000W" "385411000N" 679 664097 4307740 30 "1999-10-14T00:00:00" NA
"28" "Hellín" "AB04" "Hellín" "014243000W" "382911000N" 579 612321 4260580 30 "1999-10-14T00:00:00" "2013-01-19T00:00:00"
"29" "Albacete" "AB05" "Albacete" "015406000W" "385657000N" 689 595166 4311730 30 "1999-10-26T00:00:00" NA
"30" "Ontur" "AB06" "Ontur" "012944000W" "383722000N" 659 630946 4276000 30 "2000-09-27T00:00:00" NA
"31" "Pozo Cañada" "AB07" "Albacete" "014515000W" "384757000N" 829 608178 4295250 30 "2000-09-27T00:00:00" NA
"32" "La Gineta" "AB08" "Gineta, La" "020051000W" "390559000N" 696 585237 4328310 30 "2000-09-28T00:00:00" NA
"33" "Motilleja" "AB09" "Motilleja" "014611000W" "390952000N" 680 606281 4335780 30 "2000-09-28T00:00:00" NA
"34" "Caudete" "AB10" "Caudete" "005847000W" "384404000N" 563 675585 4289270 30 "2000-12-11T00:00:00" NA
"35" "La Mojonera" "AL01" "Mojonera, La" "024215000W" "364714000N" 137 526376 4071320 30 "1999-11-30T00:00:00" NA
"36" "Almería" "AL02" "Almería" "022408000W" "365007000N" 5 553282 4076780 30 "1999-11-30T00:00:00" NA
"37" "Níjar" "AL03" "Níjar" "020735000W" "365645000N" 158 577785 4089250 30 "1999-11-30T00:00:00" "2000-07-09T00:00:00"
"38" "Tabernas" "AL04" "Tabernas" "021808000W" "370528000N" 502 561998 4105230 30 "1999-12-01T00:00:00" NA
"39" "Fiñana" "AL05" "Fiñana" "025019000W" "370924000N" 958 514311 4112270 30 "1999-12-01T00:00:00" NA
"40" "Virgen de Fátima-Cuevas de Almanzora" "AL06" "Cuevas del Almanzora" "014613000W" "372320000N" 173 608847 4138750 30 "1999-12-21T00:00:00" NA
"41" "Huércal-Overa" "AL07" "Huércal-Overa" "015303000W" "372444000N" 303 598735 4141210 30 "1999-12-21T00:00:00" NA
"42" "Cuevas de Almanzora" "AL08" "Cuevas del Almanzora" "014801000W" "371524000N" 28 606367 4124030 30 "1999-12-22T00:00:00" NA
"43" "Tíjola" "AL09" "Tíjola" "022725000W" "372218000N" 740 548076 4136270 30 "1999-12-22T00:00:00" "2000-12-18T00:00:00"
"44" "Adra" "AL10" "Adra" "025932000W" "364448000N" 2 500683 4066780 30 "2000-09-06T00:00:00" NA
"45" "Níjar" "AL11" "Níjar" "020929000W" "365702000N" 169 574960 4089720 30 "2001-09-18T00:00:00" NA
